P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
40144,puff metallic dim grey forest,Manufacturer#2,Brand#25,LARGE PLATED NICKEL,3,WRAP CASE,1084.14,y ironic accounts. re
40145,violet lace beige chiffon saddle,Manufacturer#4,Brand#44,PROMO PLATED TIN,30,MED PKG,1085.14,rmanent account
40146,maroon almond black lemon chocolate,Manufacturer#3,Brand#32,STANDARD BURNISHED BRASS,11,SM DRUM,1086.14," the fluffily pendin"
40147,olive blanched coral cornsilk hot,Manufacturer#4,Brand#43,PROMO PLATED TIN,31,WRAP CAN,1087.14," regular "
40148,lace lawn burnished cornflower hot,Manufacturer#5,Brand#54,ECONOMY POLISHED NICKEL,32,LG DRUM,1088.14,lithely express depos
40149,orchid peru goldenrod wheat lawn,Manufacturer#1,Brand#14,MEDIUM BRUSHED TIN,21,JUMBO BAG,1089.14,requests
40150,antique cream steel violet grey,Manufacturer#1,Brand#15,STANDARD BRUSHED STEEL,46,MED JAR,1090.15,dencies nag f
40151,blue drab snow steel olive,Manufacturer#1,Brand#12,ECONOMY ANODIZED NICKEL,25,WRAP PKG,1091.15,lly quickly f
40152,plum sandy orchid deep blanched,Manufacturer#2,Brand#24,SMALL POLISHED COPPER,30,WRAP BAG,1092.15," above the fur"
40153,coral violet wheat thistle lavender,Manufacturer#3,Brand#34,ECONOMY ANODIZED TIN,32,WRAP PKG,1093.15,nd some
40154,forest white pale violet peach,Manufacturer#5,Brand#53,SMALL BRUSHED BRASS,48,SM JAR,1094.15,nal packages mainta
40155,frosted gainsboro midnight misty black,Manufacturer#3,Brand#31,LARGE BURNISHED STEEL,32,MED PACK,1095.15," are slyly express fox"
40156,firebrick drab red sky blush,Manufacturer#2,Brand#21,SMALL PLATED TIN,20,SM BOX,1096.15,cial deposits haggle f
40157,olive lemon azure metallic green,Manufacturer#3,Brand#34,MEDIUM ANODIZED STEEL,43,LG DRUM,1097.15,ithely even excuses. 
40158,yellow blush ivory sandy cream,Manufacturer#5,Brand#52,MEDIUM ANODIZED NICKEL,36,JUMBO CAN,1098.15,"ar, even accounts d"
40159,lace coral plum seashell cream,Manufacturer#3,Brand#33,ECONOMY BRUSHED NICKEL,14,SM DRUM,1099.15,int furi
40160,orchid tan lime azure navajo,Manufacturer#3,Brand#33,PROMO BURNISHED COPPER,6,MED BAG,1100.16,yly. flu
40161,pale turquoise red seashell hot,Manufacturer#1,Brand#11,STANDARD BRUSHED BRASS,16,JUMBO PKG,1101.16,e express 
40162,red linen metallic puff lemon,Manufacturer#2,Brand#23,SMALL BURNISHED NICKEL,10,WRAP BOX,1102.16,ongside of the quick
40163,lawn deep bisque burlywood sandy,Manufacturer#5,Brand#55,PROMO ANODIZED BRASS,28,SM PKG,1103.16,uests unwind furious
40164,moccasin orange drab snow powder,Manufacturer#5,Brand#53,PROMO ANODIZED BRASS,48,MED BAG,1104.16," ideas hinder q"
40165,thistle orchid dark medium burlywood,Manufacturer#3,Brand#35,PROMO POLISHED NICKEL,46,LG PACK,1105.16," ideas. blithely p"
40166,firebrick sky cornsilk royal blue,Manufacturer#1,Brand#13,ECONOMY PLATED BRASS,32,MED JAR,1106.16,iously final requests
40167,beige sandy honeydew metallic mint,Manufacturer#1,Brand#13,SMALL POLISHED COPPER,14,LG DRUM,1107.16,xpress requests
40168,magenta violet slate orchid antique,Manufacturer#4,Brand#44,ECONOMY ANODIZED COPPER,13,LG BOX,1108.16,l pack
40169,chocolate smoke cream burnished peach,Manufacturer#3,Brand#33,STANDARD POLISHED NICKEL,25,JUMBO PKG,1109.16,ake fur
40170,aquamarine snow dodger lace burlywood,Manufacturer#4,Brand#42,MEDIUM BURNISHED STEEL,10,LG JAR,1110.17,fully eve
40171,olive saddle white honeydew drab,Manufacturer#3,Brand#35,STANDARD ANODIZED NICKEL,26,SM BAG,1111.17,ic pack
40172,chiffon lawn misty papaya honeydew,Manufacturer#3,Brand#35,SMALL BURNISHED NICKEL,26,MED JAR,1112.17,its. regular r
40173,salmon antique frosted khaki dark,Manufacturer#3,Brand#35,ECONOMY ANODIZED TIN,47,JUMBO BAG,1113.17," foxes. instruction"
40174,peru puff cornflower azure peach,Manufacturer#5,Brand#51,ECONOMY POLISHED BRASS,50,LG CAN,1114.17,". pending, "
40175,dodger floral azure mint burnished,Manufacturer#3,Brand#32,ECONOMY BRUSHED COPPER,1,MED BAG,1115.17,xes along the qu
40176,papaya sienna royal cornsilk lace,Manufacturer#1,Brand#11,MEDIUM POLISHED COPPER,30,LG BOX,1116.17,ackages. 
40177,almond salmon black navajo aquamarine,Manufacturer#5,Brand#54,PROMO ANODIZED COPPER,46,SM JAR,1117.17,y slow accoun
40178,white wheat lace grey pink,Manufacturer#2,Brand#23,STANDARD POLISHED BRASS,2,SM DRUM,1118.17,ckly ironic
40179,chocolate chartreuse metallic tan deep,Manufacturer#1,Brand#14,ECONOMY ANODIZED BRASS,17,SM CASE,1119.17,quickl
40180,lace misty moccasin sandy steel,Manufacturer#1,Brand#11,LARGE POLISHED BRASS,21,SM BAG,1120.18," special ideas "
40181,sienna ivory red almond spring,Manufacturer#4,Brand#42,ECONOMY POLISHED NICKEL,40,SM CASE,1121.18," foxes. ironic, f"
40182,pale lace burnished pink hot,Manufacturer#4,Brand#45,MEDIUM PLATED TIN,39,SM CASE,1122.18,e carefully 
40183,purple green cream chiffon cyan,Manufacturer#3,Brand#34,ECONOMY BRUSHED COPPER,25,JUMBO BOX,1123.18,ong the ins
40184,smoke pink aquamarine black mint,Manufacturer#1,Brand#11,MEDIUM BRUSHED NICKEL,13,JUMBO CAN,1124.18,s slee
40185,chiffon salmon snow violet chocolate,Manufacturer#4,Brand#45,ECONOMY POLISHED COPPER,4,JUMBO DRUM,1125.18,es haggle fluff
40186,linen almond maroon turquoise aquamarine,Manufacturer#5,Brand#54,LARGE BRUSHED TIN,37,JUMBO CAN,1126.18," reques"
40187,honeydew smoke purple salmon burlywood,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,36,LG CASE,1127.18,y. slowly pend
40188,aquamarine forest black medium puff,Manufacturer#4,Brand#44,STANDARD POLISHED NICKEL,40,SM PKG,1128.18," special instru"
40189,floral maroon puff coral drab,Manufacturer#1,Brand#15,LARGE POLISHED BRASS,30,JUMBO BAG,1129.18,ests wake under t
40190,lemon ivory honeydew indian beige,Manufacturer#1,Brand#11,STANDARD PLATED COPPER,40,MED JAR,1130.19,osits. fu
40191,deep olive turquoise blush dim,Manufacturer#5,Brand#52,ECONOMY POLISHED STEEL,30,SM PACK,1131.19,to beans c
40192,rosy azure peach pink salmon,Manufacturer#5,Brand#53,STANDARD BRUSHED COPPER,28,MED CASE,1132.19,ly final dept
40193,saddle moccasin orange salmon gainsboro,Manufacturer#5,Brand#53,SMALL ANODIZED NICKEL,8,LG BOX,1133.19,above the ironic asy
40194,dim goldenrod grey bisque orange,Manufacturer#1,Brand#11,SMALL PLATED STEEL,31,MED BOX,1134.19,he furi
40195,pale goldenrod seashell navajo lavender,Manufacturer#1,Brand#11,LARGE POLISHED BRASS,7,SM JAR,1135.19,"ns. regular, ironi"
40196,orchid brown red thistle grey,Manufacturer#4,Brand#43,SMALL POLISHED BRASS,36,MED PKG,1136.19,"ct across the regular,"
40197,purple rose khaki royal thistle,Manufacturer#5,Brand#54,SMALL POLISHED TIN,2,MED CAN,1137.19,ding to the express
40198,drab steel bisque ivory lace,Manufacturer#2,Brand#21,PROMO POLISHED COPPER,26,WRAP PKG,1138.19,could 
40199,medium misty seashell khaki aquamarine,Manufacturer#4,Brand#43,MEDIUM BURNISHED TIN,30,JUMBO JAR,1139.19,r packages sleep
40200,spring olive grey peach rosy,Manufacturer#1,Brand#11,PROMO PLATED TIN,37,JUMBO JAR,1140.20,tes cajole bl
40201,powder maroon thistle burlywood blanched,Manufacturer#3,Brand#35,ECONOMY PLATED NICKEL,11,LG BAG,1141.20,tect along 
40202,sky chocolate ivory dark yellow,Manufacturer#2,Brand#24,PROMO PLATED BRASS,49,MED PACK,1142.20,lyly unusual requ
40203,orchid seashell snow peru indian,Manufacturer#3,Brand#35,LARGE POLISHED TIN,44,MED JAR,1143.20,ns sle
40204,papaya black ivory antique almond,Manufacturer#5,Brand#52,LARGE PLATED NICKEL,39,LG CAN,1144.20,"gside of the bold, reg"
