L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
5562575682,47743501,5243514,1,13.00,20047.56,0.01,0.04,"N","O","1996-06-03","1996-06-22","1996-06-28","NONE","MAIL","yly slyly bold deposits. carefully "
5562973122,94342630,1842658,3,5.00,8339.60,0.01,0.07,"N","O","1996-06-03","1996-07-26","1996-06-17","TAKE BACK RETURN","MAIL"," regular accou"
5562976353,131056530,6056557,2,42.00,62159.16,0.05,0.04,"N","O","1996-06-03","1996-07-25","1996-06-19","DELIVER IN PERSON","SHIP","lar asymptotes. pinto beans accord"
5562960964,124098540,4098541,4,2.00,3064.68,0.07,0.06,"N","O","1996-06-03","1996-04-28","1996-06-16","NONE","AIR"," accounts ought to detect "
5562788128,160854406,3354423,1,41.00,55446.76,0.02,0.06,"N","O","1996-06-03","1996-06-02","1996-06-12","DELIVER IN PERSON","SHIP","ar accounts detect"
5562725024,65313153,2813172,2,8.00,9303.12,0.10,0.06,"N","O","1996-06-03","1996-06-29","1996-06-10","COLLECT COD","TRUCK","ckages sleep quickly. quickly regul"
5562747717,45284045,7784050,3,31.00,31830.18,0.02,0.03,"N","O","1996-06-03","1996-06-27","1996-06-15","TAKE BACK RETURN","TRUCK","posits above the quickly pending in"
5562552292,27519858,2519863,2,32.00,60047.36,0.03,0.03,"N","O","1996-06-03","1996-06-03","1996-06-28","DELIVER IN PERSON","SHIP","ven, regular deposits affix slyly. blithel"
5562745283,141882453,9382496,1,42.00,59991.12,0.02,0.02,"N","O","1996-06-03","1996-03-24","1996-06-25","TAKE BACK RETURN","SHIP","dugouts kindle requests"
5562869377,181033490,8533545,3,24.00,33946.56,0.04,0.03,"N","O","1996-06-03","1996-06-15","1996-06-05","TAKE BACK RETURN","RAIL","apades. blithely final packages breach "
5562701346,105511698,511719,2,23.00,39201.66,0.10,0.08,"N","O","1996-06-03","1996-05-22","1996-06-11","DELIVER IN PERSON","AIR","ent deposits affix permanent deposits"
5562533665,194676253,7176273,1,33.00,40244.16,0.00,0.03,"N","O","1996-06-03","1996-05-01","1996-06-16","TAKE BACK RETURN","FOB","t accounts sleep. regular,"
5562739783,105368147,2868178,6,34.00,41135.92,0.06,0.08,"N","O","1996-06-03","1996-07-26","1996-06-10","NONE","MAIL","ndencies wake"
5562533440,45699951,8199956,1,40.00,77946.80,0.07,0.06,"N","O","1996-06-03","1996-06-27","1996-06-22","DELIVER IN PERSON","RAIL"," theodolites hinder f"
5563802402,81131944,6131961,2,4.00,7887.56,0.01,0.01,"N","O","1996-06-03","1996-05-31","1996-06-09","TAKE BACK RETURN","AIR","lly even packages. slyly even asymptote"
5563799878,107449541,7449542,4,26.00,38614.42,0.00,0.01,"N","O","1996-06-03","1996-06-21","1996-06-24","COLLECT COD","TRUCK"," accounts across the slyly"
5562550307,199140214,4140253,2,28.00,34839.28,0.00,0.02,"N","O","1996-06-03","1996-03-14","1996-06-11","TAKE BACK RETURN","AIR","ly special accounts sleep above "
5562809218,81351305,8851330,2,12.00,16226.88,0.00,0.06,"N","O","1996-06-03","1996-07-25","1996-06-19","COLLECT COD","RAIL",". regular packag"
5562738688,156838062,1838093,3,12.00,11906.64,0.09,0.02,"N","O","1996-06-03","1996-05-26","1996-06-10","COLLECT COD","AIR","n pearls. regular de"
5562749061,120620372,5620397,1,6.00,7718.04,0.08,0.05,"N","O","1996-06-03","1996-06-26","1996-06-04","NONE","REG AIR","eposits. s"
5562580160,122336367,4836380,4,13.00,18164.25,0.07,0.04,"N","O","1996-06-03","1996-03-24","1996-06-22","TAKE BACK RETURN","FOB","uriously sometimes regular requ"
5562995014,7954037,7954038,1,39.00,42534.96,0.00,0.05,"N","O","1996-06-03","1996-05-23","1996-06-18","TAKE BACK RETURN","MAIL","quickly pinto beans. q"
5563042819,158111381,8111382,5,26.00,35996.48,0.04,0.01,"N","O","1996-06-03","1996-07-20","1996-06-16","DELIVER IN PERSON","TRUCK"," final foxes haggle slyly. fina"
5563035715,50270913,270914,2,39.00,73374.60,0.06,0.01,"N","O","1996-06-03","1996-04-09","1996-07-03","COLLECT COD","AIR","ccounts cajole ac"
5562834720,157932053,5432099,2,11.00,11848.76,0.01,0.08,"N","O","1996-06-03","1996-04-26","1996-06-19","NONE","MAIL","sleep fluffily silent packages"
5563001700,162338773,7338806,1,5.00,9018.30,0.00,0.00,"N","O","1996-06-03","1996-07-18","1996-06-07","NONE","SHIP","nal accounts "
5562678439,120485418,7985455,4,44.00,61485.16,0.02,0.06,"N","O","1996-06-03","1996-03-26","1996-06-17","DELIVER IN PERSON","FOB"," quickly excuse"
5563196448,118024901,8024902,2,49.00,89180.00,0.10,0.07,"N","O","1996-06-03","1996-07-31","1996-06-07","TAKE BACK RETURN","SHIP","ithely regular theodoli"
5562619010,31205129,1205130,2,30.00,30976.80,0.06,0.08,"N","O","1996-06-03","1996-07-21","1996-06-22","COLLECT COD","RAIL"," even, bold instructi"
5563045089,113893846,8893869,4,32.00,58692.80,0.10,0.03,"N","O","1996-06-03","1996-07-14","1996-06-26","DELIVER IN PERSON","RAIL","o beans. fluffily even courts nag fluffily"
5562837189,26313448,1313453,2,3.00,4380.39,0.07,0.06,"N","O","1996-06-03","1996-07-02","1996-06-10","COLLECT COD","TRUCK","ing dependencies sleep blit"
5562588867,159372620,6872666,3,21.00,35377.86,0.04,0.02,"N","O","1996-06-03","1996-04-11","1996-06-19","TAKE BACK RETURN","FOB"," among the furiously regular foxes in"
5562916068,9959026,9959027,4,11.00,11929.83,0.10,0.07,"N","O","1996-06-03","1996-04-26","1996-06-16","NONE","SHIP"," deposits sleep slyl"
5563007268,158108562,3108593,4,39.00,60943.74,0.04,0.06,"N","O","1996-06-03","1996-07-25","1996-06-22","DELIVER IN PERSON","AIR","oubt slyly dolphins. furiously speci"
5562617221,125663656,8163669,1,21.00,33880.77,0.03,0.08,"N","O","1996-06-03","1996-07-17","1996-06-17","COLLECT COD","FOB","nst the permanently express"
5562526656,49794806,4794815,4,23.00,43661.36,0.07,0.05,"N","O","1996-06-03","1996-05-25","1996-06-28","DELIVER IN PERSON","TRUCK"," quickly furiously express d"
5562933056,132534381,7534408,1,50.00,70438.00,0.03,0.06,"N","O","1996-06-03","1996-06-27","1996-06-23","DELIVER IN PERSON","AIR","y unusual dependencies boost after the ir"
5563002370,157618006,7618007,5,20.00,18322.40,0.10,0.02,"N","O","1996-06-03","1996-04-27","1996-06-12","DELIVER IN PERSON","SHIP"," haggle carefully unusual dolphins"
5562647364,93996102,6496112,5,47.00,56090.27,0.06,0.02,"N","O","1996-06-03","1996-05-02","1996-06-10","TAKE BACK RETURN","RAIL","s regular requests nag "
5562895266,67647672,7647673,1,22.00,35558.38,0.08,0.00,"N","O","1996-06-03","1996-05-24","1996-06-24","NONE","TRUCK","sual deposits. blithely unusual excus"
5562697158,134632899,9632926,4,31.00,56579.96,0.05,0.03,"N","O","1996-06-03","1996-08-06","1996-06-11","NONE","TRUCK",". slyly even asymptotes are carefully expre"
5562996966,3098250,5598251,2,40.00,49924.00,0.07,0.01,"N","O","1996-06-03","1996-05-11","1996-06-17","COLLECT COD","MAIL","ometimes ev"
5562711267,175440683,440718,7,5.00,8074.55,0.01,0.08,"N","O","1996-06-03","1996-05-29","1996-06-16","DELIVER IN PERSON","FOB","ual, even request"
5562825826,136882507,9382521,1,37.00,54858.42,0.09,0.02,"N","O","1996-06-03","1996-04-13","1996-06-20","DELIVER IN PERSON","FOB","ent accounts. silent,"
5562657058,130469522,5469549,3,41.00,60885.00,0.05,0.01,"N","O","1996-06-03","1996-07-30","1996-06-22","NONE","AIR","cuses. regular, pending instructions abo"
5562750821,4326940,9326941,1,33.00,64902.09,0.09,0.03,"N","O","1996-06-03","1996-04-27","1996-06-22","COLLECT COD","AIR"," deposits. regular, unusua"
5562820897,45302826,7802831,5,19.00,34704.64,0.10,0.01,"N","O","1996-06-03","1996-05-07","1996-06-25","DELIVER IN PERSON","FOB","n ideas. furio"
5562668352,3615494,8615495,1,22.00,31004.82,0.00,0.07,"N","O","1996-06-03","1996-04-08","1996-07-02","NONE","AIR","hely bold theod"
5562663457,33979386,1479396,5,48.00,70257.12,0.10,0.01,"N","O","1996-06-03","1996-06-18","1996-06-27","NONE","REG AIR","he hockey players. slyly"
5562647780,169735072,4735105,5,30.00,32957.70,0.05,0.05,"N","O","1996-06-03","1996-04-04","1996-06-28","TAKE BACK RETURN","RAIL","cajole slyly fluffy inst"
5562668452,72614113,7614128,3,12.00,12281.76,0.01,0.07,"N","O","1996-06-03","1996-04-02","1996-06-08","NONE","FOB","s haggle since the fluffily final pinto b"
5562884036,92027865,9527893,3,35.00,62589.10,0.00,0.02,"N","O","1996-06-03","1996-06-01","1996-06-24","COLLECT COD","MAIL","osits atop the bl"
5562622343,50018774,2518780,3,41.00,69301.07,0.03,0.04,"N","O","1996-06-03","1996-03-28","1996-06-06","TAKE BACK RETURN","RAIL","ully ironic packages sleep final ex"
5562733827,77681657,5181679,6,11.00,17982.47,0.07,0.01,"N","O","1996-06-03","1996-06-07","1996-06-21","TAKE BACK RETURN","RAIL"," theodolites wake furiousl"
5562567617,142601641,101684,3,14.00,24297.28,0.00,0.00,"N","O","1996-06-03","1996-06-12","1996-06-15","COLLECT COD","FOB","eposits eat blithel"
5562612544,181851562,4351581,3,48.00,72214.56,0.03,0.08,"N","O","1996-06-03","1996-07-04","1996-06-06","NONE","MAIL","s nag. blithe"
5562785442,34402785,6902789,4,19.00,32035.14,0.03,0.03,"N","O","1996-06-03","1996-06-24","1996-06-04","TAKE BACK RETURN","SHIP"," the fluffily sp"
5562723527,76831933,4331955,5,43.00,80026.87,0.00,0.00,"N","O","1996-06-03","1996-07-14","1996-06-19","TAKE BACK RETURN","REG AIR"," fluffily even deposits along"
5562938242,50636320,636321,3,2.00,2507.58,0.06,0.02,"N","O","1996-06-03","1996-05-20","1996-07-01","TAKE BACK RETURN","MAIL","uffily carefully even packages. sheav"
5562924420,134524734,2024774,1,41.00,71832.41,0.05,0.04,"N","O","1996-06-03","1996-07-24","1996-06-14","TAKE BACK RETURN","FOB","ly after the sl"
5563005890,101837196,9337227,5,38.00,42867.80,0.10,0.02,"N","O","1996-06-03","1996-06-21","1996-06-27","DELIVER IN PERSON","MAIL","s haggle slyly spe"
5562615715,62327017,7327030,1,50.00,52045.00,0.08,0.02,"N","O","1996-06-03","1996-04-06","1996-06-13","NONE","FOB","ependencies alongside of the unusua"
5562875233,95655355,655374,3,2.00,2611.14,0.10,0.01,"N","O","1996-06-03","1996-05-25","1996-06-16","DELIVER IN PERSON","MAIL","ic pinto be"
5562714118,33191766,3191767,1,23.00,42690.53,0.07,0.01,"N","O","1996-06-03","1996-07-11","1996-07-03","NONE","SHIP","ully even forges use aft"
5562925217,181905403,9405458,5,47.00,65767.57,0.07,0.07,"N","O","1996-06-03","1996-04-30","1996-07-01","DELIVER IN PERSON","MAIL","tructions. slyl"
5562997440,46935578,6935579,2,8.00,12889.84,0.00,0.03,"N","O","1996-06-03","1996-05-26","1996-06-30","NONE","MAIL"," pending requests nag car"
5563500514,177244725,9744743,3,35.00,58130.10,0.04,0.04,"N","O","1996-06-03","1996-04-11","1996-06-15","DELIVER IN PERSON","REG AIR"," ideas about the regular pi"
5562603970,149815152,7315195,2,42.00,44505.72,0.06,0.06,"N","O","1996-06-03","1996-06-16","1996-06-04","DELIVER IN PERSON","SHIP","ly express accounts; ironic requests h"
5562733026,146868699,1868728,3,6.00,9962.10,0.04,0.08,"N","O","1996-06-03","1996-07-07","1996-06-20","TAKE BACK RETURN","AIR","xpress deposits integra"
5562577313,71368839,1368840,1,37.00,70457.99,0.08,0.04,"N","O","1996-06-03","1996-05-10","1996-06-26","DELIVER IN PERSON","REG AIR","s are fluffily quickly silent accounts"
5562971616,38636011,8636012,4,26.00,24572.08,0.10,0.07,"N","O","1996-06-03","1996-07-04","1996-06-07","TAKE BACK RETURN","RAIL"," packages "
5562607809,139260524,9260525,2,38.00,56147.28,0.00,0.00,"N","O","1996-06-03","1996-07-14","1996-06-14","NONE","RAIL","e of the silent, express pint"
5562669157,17319642,2319645,1,30.00,49823.40,0.06,0.01,"N","O","1996-06-03","1996-07-28","1996-06-28","DELIVER IN PERSON","AIR","r requests are carefully along the "
5562860835,160776431,8276480,1,6.00,8996.40,0.09,0.03,"N","O","1996-06-03","1996-07-01","1996-06-29","DELIVER IN PERSON","FOB"," final accounts are upon the carefully regu"
5562909126,129963106,7463143,4,31.00,36040.91,0.01,0.02,"N","O","1996-06-03","1996-07-01","1996-06-23","NONE","AIR","uriously pending packages s"
5562794629,66364895,6364896,4,20.00,39131.60,0.03,0.08,"N","O","1996-06-03","1996-04-09","1996-06-20","TAKE BACK RETURN","AIR","ing courts. inst"
5562946343,91816127,6816146,3,14.00,14539.42,0.07,0.02,"N","O","1996-06-03","1996-05-01","1996-06-13","NONE","SHIP"," the even, regular depos"
5562714662,48469793,969798,1,19.00,33447.03,0.09,0.03,"N","O","1996-06-03","1996-07-11","1996-06-28","COLLECT COD","FOB","yly fluffily final deposits. "
5562707906,43766783,1266796,5,38.00,70208.80,0.10,0.07,"N","O","1996-06-03","1996-04-26","1996-06-08","COLLECT COD","FOB","requests. even"
5562866497,153720561,3720562,4,11.00,17312.68,0.02,0.04,"N","O","1996-06-03","1996-05-13","1996-07-03","TAKE BACK RETURN","TRUCK","ully furiously bold excuses. carefully sile"
5562581443,100538276,5538297,2,29.00,37968.25,0.09,0.00,"N","O","1996-06-03","1996-04-04","1996-06-05","COLLECT COD","MAIL","ravely regular "
5562654853,62669072,169091,3,31.00,32176.14,0.09,0.02,"N","O","1996-06-03","1996-05-07","1996-06-19","DELIVER IN PERSON","AIR","nts. furiou"
5562863168,106915367,1915388,5,45.00,61965.90,0.05,0.02,"N","O","1996-06-03","1996-06-16","1996-06-09","DELIVER IN PERSON","AIR","lly final deposits x-ray care"
5562988133,88478830,978839,1,19.00,34283.79,0.04,0.00,"N","O","1996-06-03","1996-05-19","1996-06-17","NONE","TRUCK","egular theodolites wake fluffily"
5562525090,161470670,8970719,1,47.00,76732.20,0.10,0.03,"N","O","1996-06-03","1996-05-14","1996-06-18","NONE","FOB","even pinto beans about the sly"
5562810976,31390028,8890038,1,46.00,51357.16,0.07,0.01,"N","O","1996-06-03","1996-07-13","1996-06-16","COLLECT COD","AIR","nstructions around the fluffily unusual de"
5562882594,134774696,9774723,4,1.00,1763.96,0.01,0.03,"N","O","1996-06-03","1996-07-18","1996-06-06","TAKE BACK RETURN","RAIL","special instru"
5562639139,93223865,5723875,7,47.00,83857.40,0.10,0.08,"N","O","1996-06-03","1996-04-25","1996-06-07","COLLECT COD","REG AIR","equests try t"
5562639139,167443157,9943174,3,38.00,41487.64,0.05,0.01,"N","O","1996-06-03","1996-05-15","1996-06-09","COLLECT COD","REG AIR","ing, final theodolites"
5562684549,22349259,2349260,1,32.00,41828.48,0.10,0.06,"N","O","1996-06-03","1996-07-12","1996-06-07","TAKE BACK RETURN","MAIL","pearls use slyly-- quickly bold p"
5562671779,16738105,4238109,3,2.00,2284.54,0.02,0.02,"N","O","1996-06-03","1996-04-06","1996-06-10","NONE","MAIL","to beans. unusual accounts around th"
5562527616,42858984,2858985,1,8.00,15526.72,0.10,0.07,"N","O","1996-06-03","1996-06-20","1996-07-03","COLLECT COD","MAIL"," the furiously final t"
5562752675,25085613,85618,6,34.00,54310.24,0.00,0.07,"N","O","1996-06-03","1996-07-08","1996-06-20","COLLECT COD","TRUCK","waters wake after the slyly furious p"
5562796612,176095030,1095065,1,8.00,8129.84,0.06,0.06,"N","O","1996-06-03","1996-04-13","1996-06-22","NONE","REG AIR"," daring braids. blithel"
5562730208,146224987,6224988,4,14.00,26665.38,0.08,0.04,"N","O","1996-06-03","1996-04-11","1996-06-08","NONE","TRUCK"," even accounts: unusual accounts de"
5562878721,160969425,969426,2,41.00,60941.58,0.06,0.06,"N","O","1996-06-03","1996-08-04","1996-06-16","DELIVER IN PERSON","RAIL","final requests across the regu"
5562878724,185951740,3451795,3,13.00,23171.85,0.06,0.05,"N","O","1996-06-03","1996-06-26","1996-06-07","NONE","AIR","nts. boldly even platelets was regul"
5562847111,84742366,9742383,1,2.00,2808.26,0.10,0.01,"N","O","1996-06-03","1996-06-28","1996-06-06","COLLECT COD","SHIP"," quickly unusual accounts hag"
5562904578,75946443,946458,7,6.00,8913.90,0.05,0.02,"N","O","1996-06-03","1996-05-30","1996-06-18","DELIVER IN PERSON","AIR","ding to the accounts are carefully"
5562938855,39067936,6567946,3,30.00,57059.40,0.10,0.06,"N","O","1996-06-03","1996-05-30","1996-06-20","TAKE BACK RETURN","MAIL"," along the "
5562696448,94473681,6973691,6,21.00,34649.16,0.02,0.07,"N","O","1996-06-03","1996-07-17","1996-07-02","TAKE BACK RETURN","REG AIR","od slyly along th"
698641888,184904202,2404257,2,38.00,45484.48,0.06,0.00,"N","O","1996-06-03","1996-06-03","1996-06-21","NONE","FOB"," players cajole quickly along th"
698848294,10805112,3305114,5,13.00,13215.41,0.06,0.05,"N","O","1996-06-03","1996-07-15","1996-06-27","DELIVER IN PERSON","SHIP","pendencies along the bold deposits was alo"
5563551393,86193927,3693952,1,23.00,46382.26,0.04,0.01,"N","O","1996-06-03","1996-06-28","1996-06-15","COLLECT COD","TRUCK","deas. regular platelets cajole blithe"
5563273637,111959679,9459713,3,22.00,38127.76,0.00,0.00,"N","O","1996-06-03","1996-05-24","1996-07-02","TAKE BACK RETURN","AIR","s: even packages wake final deposits"
5563427046,70046744,2546752,5,8.00,13497.92,0.04,0.06,"N","O","1996-06-03","1996-05-01","1996-06-15","COLLECT COD","AIR","intain. carefully pending depend"
5563177923,176213510,3713562,2,3.00,4244.10,0.06,0.08,"N","O","1996-06-03","1996-07-04","1996-06-15","TAKE BACK RETURN","AIR","l notornis. s"
5563353699,156685769,4185815,2,22.00,38432.46,0.07,0.05,"N","O","1996-06-03","1996-06-19","1996-06-19","COLLECT COD","AIR","s. quickly f"
5563235525,10559352,5559355,3,33.00,46557.39,0.05,0.06,"N","O","1996-06-03","1996-05-15","1996-06-18","COLLECT COD","TRUCK","y sometimes final ideas. perm"
5563467458,133146558,3146559,6,31.00,49534.90,0.10,0.04,"N","O","1996-06-03","1996-08-09","1996-06-11","COLLECT COD","FOB","yly above the furiously pending req"
5562799815,34239891,6739895,1,34.00,62192.12,0.03,0.03,"N","O","1996-06-03","1996-06-15","1996-06-09","DELIVER IN PERSON","AIR","special platelets haggl"
